2024-08-07 16:52:10,392  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 16:52:10,392  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 16:52:10,392  | py-experimenter - WARNING  | No logtables given
2024-08-07 16:52:10,392  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 16:52:10,392  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 16:52:31,876  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 16:52:31,876  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 16:52:31,876  | py-experimenter - WARNING  | No logtables given
2024-08-07 16:52:31,876  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 16:52:31,876  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 16:53:34,818  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 16:53:34,818  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 16:53:34,819  | py-experimenter - WARNING  | No logtables given
2024-08-07 16:53:34,819  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 16:53:34,819  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 16:56:05,662  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 16:56:05,662  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 16:56:05,662  | py-experimenter - WARNING  | No logtables given
2024-08-07 16:56:05,662  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 16:56:05,662  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 16:56:05,685  | py-experimenter - INFO     | Initialized and connected to database
2024-08-07 16:59:54,713  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 16:59:54,714  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 16:59:54,714  | py-experimenter - WARNING  | No logtables given
2024-08-07 16:59:54,714  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 16:59:54,714  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 16:59:54,732  | py-experimenter - INFO     | Initialized and connected to database
2024-08-07 16:59:54,799  | py-experimenter - INFO     | 12 rows successfully added to database. 0 rows were skipped.
2024-08-07 17:24:19,197  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 17:24:19,197  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 17:24:19,198  | py-experimenter - WARNING  | No logtables given
2024-08-07 17:24:19,198  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 17:24:19,198  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 17:24:19,208  | py-experimenter - INFO     | Initialized and connected to database
2024-08-07 17:24:19,223  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-07 17:27:42,467  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 17:27:42,468  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 17:27:42,468  | py-experimenter - WARNING  | No logtables given
2024-08-07 17:27:42,468  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 17:27:42,469  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 17:27:42,491  | py-experimenter - INFO     | Initialized and connected to database
2024-08-07 17:27:42,523  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-07 17:28:13,216  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 17:28:13,217  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 17:28:13,217  | py-experimenter - WARNING  | No logtables given
2024-08-07 17:28:13,217  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 17:28:13,217  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 17:28:13,232  | py-experimenter - INFO     | Initialized and connected to database
2024-08-07 17:28:13,257  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-07 17:29:46,106  | py-experimenter - INFO     | Found 4 keyfields
2024-08-07 17:29:46,106  | py-experimenter - INFO     | Found 3 resultfields
2024-08-07 17:29:46,106  | py-experimenter - WARNING  | No logtables given
2024-08-07 17:29:46,106  | py-experimenter - WARNING  | No custom section defined in config
2024-08-07 17:29:46,106  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-07 17:29:46,120  | py-experimenter - INFO     | Initialized and connected to database
2024-08-07 17:29:46,141  | py-experimenter - INFO     | No rows to add. All the 12 experiments already exist.
2024-08-08 13:26:21,238  | py-experimenter - INFO     | Found 4 keyfields
2024-08-08 13:26:21,239  | py-experimenter - INFO     | Found 3 resultfields
2024-08-08 13:26:21,239  | py-experimenter - WARNING  | No logtables given
2024-08-08 13:26:21,239  | py-experimenter - WARNING  | No custom section defined in config
2024-08-08 13:26:21,239  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 14:20:00,812  | py-experimenter - INFO     | Found 4 keyfields
2024-08-09 14:20:00,822  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 14:20:00,822  | py-experimenter - WARNING  | No logtables given
2024-08-09 14:20:00,823  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 14:20:00,823  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 14:20:11,054  | py-experimenter - INFO     | Found 4 keyfields
2024-08-09 14:20:11,055  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 14:20:11,055  | py-experimenter - WARNING  | No logtables given
2024-08-09 14:20:11,055  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 14:20:11,055  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 14:24:30,221  | py-experimenter - INFO     | Found 4 keyfields
2024-08-09 14:24:30,221  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 14:24:30,221  | py-experimenter - WARNING  | No logtables given
2024-08-09 14:24:30,221  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 14:24:30,222  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 14:25:20,637  | py-experimenter - INFO     | Found 4 keyfields
2024-08-09 14:25:20,637  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 14:25:20,637  | py-experimenter - WARNING  | No logtables given
2024-08-09 14:25:20,637  | py-experimenter - WARNING  | No custom section defined in config
2024-08-09 14:25:20,637  | py-experimenter - WARNING  | No codecarbon section defined in config
2024-08-09 14:25:20,647  | py-experimenter - INFO     | Initialized and connected to database
2024-08-09 14:26:04,142  | py-experimenter - INFO     | Found 4 keyfields
2024-08-09 14:26:04,142  | py-experimenter - INFO     | Found 3 resultfields
2024-08-09 14:26:04,142  | py-experimenter - WARNING  | No logtables given
2024-08-09 14:26:04,142  | py-experimenter - WARNING  | No custom section defined in config
